PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,elapsedTime,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,4.722678,-34.19231,44.50986,-13.45122,-34.33505,44.12352,-13.13494,-34.24778,44.11433,-13.07737,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,4.883513,-34.27687,44.61557,-13.45475,-34.33232,44.12394,-13.1355,-34.24697,44.11445,-13.0758,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,5.016399,-34.24913,44.66301,-13.47987,-34.33096,44.12413,-13.13562,-34.24729,44.1144,-13.07562,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,5.146983,-34.22948,44.72455,-13.54166,-34.3297,44.12407,-13.13596,-34.24725,44.11433,-13.07545,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,5.274977,-34.21088,44.89754,-13.55267,-34.32806,44.124,-13.13625,-34.24725,44.11433,-13.07534,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,5.404688,-34.19578,45.06166,-13.66771,-34.32642,44.12405,-13.1364,-34.24738,44.11443,-13.07516,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,5.542373,-34.21518,45.15196,-13.82343,-34.32467,44.12397,-13.13658,-34.24758,44.11451,-13.07512,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,5.674817,-34.34103,45.16007,-13.92209,-34.32263,44.12386,-13.1367,-34.24762,44.11451,-13.07527,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,5.81021,-34.44889,45.10202,-13.92074,-34.32072,44.12363,-13.13676,-34.24788,44.11461,-13.07547,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,5.941199,-34.46249,45.04275,-13.84334,-34.31866,44.12331,-13.13678,-34.24803,44.11468,-13.07566,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.082264,-34.43454,45.05695,-13.70964,-35.16,43.208,-14.71,-34.24823,44.11464,-13.07597,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.216119,-34.43733,44.98203,-13.65092,-35.16,43.208,-14.71,-34.24858,44.11457,-13.07622,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.351643,-34.43148,44.92302,-13.62031,-35.16,43.208,-14.71,-34.24894,44.11444,-13.07641,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.484266,-34.42644,44.90104,-13.55723,-35.16,43.208,-14.71,-34.2493,44.11437,-13.07664,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.624148,-34.42311,44.91146,-13.49025,-35.16,43.208,-14.71,-34.24972,44.11438,-13.077,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.756815,-34.41584,44.99667,-13.46441,-35.16,43.208,-14.71,-34.25013,44.11456,-13.07732,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,6.888805,-34.43272,45.09819,-13.55921,-35.16,43.208,-14.71,-34.25068,44.11457,-13.07758,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.052413,-34.42487,45.01022,-13.5205,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.190126,-34.41992,44.95544,-13.47848,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.323037,-34.42677,44.91183,-13.46953,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.456632,-34.43411,44.89776,-13.44584,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.594269,-34.44357,44.88985,-13.40157,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.752111,-34.45311,44.85904,-13.34967,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,7.883628,-34.45621,44.83758,-13.29792,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.013397,-34.44048,44.82152,-13.26859,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.172603,-34.41407,44.79557,-13.24117,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.329253,-34.39218,44.79077,-13.23589,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.460232,-34.37325,44.79707,-13.24754,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.602096,-34.35732,44.8014,-13.26897,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.732678,-34.3456,44.80997,-13.29774,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.867727,-34.3396,44.82709,-13.34212,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,8.999245,-34.34183,44.85793,-13.40676,-35.16,43.208,-14.71,-35.16,43.208,-14.71,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.135854,-34.34818,44.89438,-13.49559,-35.16,43.208,-14.71,-34.30681,44.40724,-13.32401,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.269028,-34.36258,44.92049,-13.58851,-35.16,43.208,-14.71,-34.19725,44.45885,-13.46687,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.398661,-34.37855,44.93044,-13.65731,-34.32558,44.32566,-13.23747,-34.00134,44.44005,-13.60807,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.543983,-34.38712,44.93515,-13.70132,-34.33173,44.37543,-13.2979,-33.95207,44.44664,-13.71792,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.678127,-34.39207,44.93663,-13.72873,-34.33167,44.39753,-13.33289,-33.92406,44.4637,-13.75879,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.805301,-34.39606,44.93672,-13.74653,-34.3267,44.40967,-13.35587,-33.90188,44.46885,-13.77647,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,9.938051,-34.39708,44.93657,-13.75617,-34.32679,44.4169,-13.366,-33.87329,44.46564,-13.78407,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.07424,-34.39667,44.93628,-13.76053,-34.32751,44.42323,-13.36918,-33.83447,44.46535,-13.78521,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.2025,-34.39593,44.93627,-13.76091,-34.33097,44.42848,-13.36998,-33.78863,44.46864,-13.78138,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.42007,-34.39355,44.93594,-13.75875,-34.32814,44.42942,-13.37186,-33.73118,44.47147,-13.77077,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.55753,-34.38949,44.93494,-13.75375,-34.31503,44.42941,-13.38355,-33.97934,44.47881,-13.67656,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.71125,-34.38255,44.9325,-13.73051,-34.27855,44.43473,-13.43433,-33.99733,44.46574,-13.6922,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,10.87805,-34.39179,44.91464,-13.6853,-34.24496,44.44138,-13.49177,-34.13106,44.45368,-13.58273,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.0404,-13.80352,44.84146,-15.24517,-13.65713,44.37324,-15.0652,-13.58127,44.39229,-15.10573,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.20575,-13.82621,44.83411,-15.23868,-13.69858,44.36532,-15.04859,-13.64083,44.39003,-15.06336,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.37468,-13.82528,44.83,-15.23975,-13.76407,44.34057,-15.02693,-13.70323,44.33719,-15.02439,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.51174,-13.81482,44.8234,-15.25338,-13.77402,44.30528,-15.02884,-13.73176,44.30348,-15.01563,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.63975,-13.82135,44.82445,-15.24667,-13.75821,44.2939,-15.02168,-13.81634,44.2985,-15.0336,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.77058,-13.80332,44.87421,-15.20293,-13.77004,44.27822,-15.02403,-13.85601,44.2905,-15.03545,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,11.89926,-13.76751,44.97569,-15.22583,-13.7853,44.26988,-15.02299,-13.88674,44.29284,-15.03329,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.02896,-13.64264,45.02083,-15.27432,-13.79687,44.26281,-15.01344,-13.9154,44.28706,-15.02674,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.16661,-13.47828,44.99278,-15.28295,-13.7987,44.25107,-14.99236,-13.92501,44.27711,-15.00553,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.30366,-13.37153,44.87935,-15.22038,-12.11845,43.70086,-15.11853,-13.90706,44.2585,-14.95897,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.43502,-13.34992,44.73122,-15.15954,-12.33791,43.75106,-14.99189,-13.87103,44.22559,-14.89792,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.56985,-13.37825,44.58816,-15.13001,-12.55584,43.79739,-14.89894,-13.82674,44.19014,-14.84185,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.70587,-13.42022,44.50757,-15.09509,-12.75494,43.81664,-14.84303,-13.79589,44.16276,-14.79783,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.83415,-13.44796,44.45417,-15.08449,-12.46155,43.70761,-14.81417,-13.78316,44.13853,-14.76527,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,12.97712,-13.436,44.3798,-15.07581,-12.10193,43.57579,-14.78608,-13.79268,44.12835,-14.73121,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.10234,-13.38181,44.25594,-15.07253,-11.75194,43.45158,-14.76677,-13.8264,44.12815,-14.70622,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.23823,-13.32777,44.10752,-15.04516,-11.32666,43.3146,-14.75495,-13.88198,44.13686,-14.68265,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.37051,-13.25854,43.98651,-15.00448,-10.86385,43.16407,-14.73286,-13.96587,44.15461,-14.6512,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.49422,-13.19053,43.9323,-14.97133,-10.38762,43.00438,-14.71319,-14.07552,44.16806,-14.60649,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.61827,-13.14037,43.88969,-14.96688,-14.54283,43.14921,-16.29368,-14.20532,44.18102,-14.54756,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.75086,-13.1096,43.85542,-14.9759,-14.54283,43.14921,-16.29368,-14.55674,44.28333,-14.39163,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,13.8735,-13.10261,43.84758,-14.97343,-14.54283,43.14921,-16.29368,-14.79784,44.34914,-14.28627,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.00779,-13.10747,43.84964,-14.96453,-14.54283,43.14921,-16.29368,-15.28324,44.50367,-14.06223,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.14216,-13.10714,43.84468,-14.96109,-14.54283,43.14921,-16.29368,-15.61126,44.65481,-13.91415,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.27547,-13.10942,43.84658,-14.96568,-14.54283,43.14921,-16.29368,-16.01724,44.7957,-13.72029,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.40921,-13.11254,43.85021,-14.97366,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.54725,-13.11453,43.85244,-14.97907,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.67958,-13.11568,43.85395,-14.98328,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.81216,-13.11655,43.85507,-14.98567,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,14.93603,-13.11726,43.85607,-14.98793,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.06768,-13.11742,43.85654,-14.98912,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.20306,-13.11828,43.85676,-14.98973,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.33611,-13.11813,43.85691,-14.98985,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.47072,-13.11812,43.85646,-14.98924,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.59253,-13.11786,43.85591,-14.98851,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.72791,-13.11767,43.85558,-14.98734,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.8613,-13.11728,43.85508,-14.9865,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,15.98641,-13.1171,43.8549,-14.98582,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.12276,-13.1168,43.85435,-14.98473,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.2524,-13.11644,43.85371,-14.98369,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.3865,-13.1162,43.85331,-14.98235,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.51891,-13.11596,43.85286,-14.98153,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.64392,-13.11557,43.85249,-14.98119,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.77822,-13.11527,43.85213,-14.98009,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,16.91327,-13.11479,43.85195,-14.97944,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.05665,-13.11486,43.85146,-14.97885,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.19148,-13.11466,43.85137,-14.97815,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.32603,-13.11453,43.85115,-14.97795,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.45775,-13.11467,43.85105,-14.97803,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.59271,-13.1142,43.85104,-14.97785,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.72807,-13.11453,43.85109,-14.97755,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.86103,-13.11462,43.85112,-14.97763,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,17.99631,-13.11462,43.8511,-14.97779,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.1411,-13.11434,43.85101,-14.97784,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.27545,-13.11465,43.85123,-14.97784,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.40966,-13.11437,43.85128,-14.97789,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.54047,-13.1146,43.85136,-14.97852,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.67779,-13.11505,43.85132,-14.97863,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.79958,-13.11478,43.85139,-14.97843,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,18.93436,-13.11481,43.85133,-14.97866,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,19.06783,-13.11472,43.85133,-14.97876,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
Teleport,Tutorial,Teleport,0,Task0,0.5036428,0.2,0.3036428,19.18995,-13.11463,43.85131,-14.9783,-14.54283,43.14921,-16.29368,-14.54283,43.14921,-16.29368,,,,,,,
