PossibleNavigations,ExperimentPhase,UserSelectedNavMethod,m_TaskNumber,m_ActiveTask,m_CurrentLeverValue,m_CurrentTargetLeverNumber,m_LeverDifference,m_DistanceToCurrentIndicatorCube,elapsedTime,TotalDistanceTraveled,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,TeleportStart.x,TeleportStart.y,TeleportStart.z,TeleportEnd.x,TeleportEnd.y,TeleportEnd.z
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6078616,9.692475,13.95756,-28.75095,44.84877,-6.091368,-28.69841,44.43899,-6.006928,-28.63686,44.36674,-5.905965,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6137061,9.828318,13.97109,-28.73909,44.84997,-6.097651,-28.70208,44.44808,-6.009827,-28.62708,44.36758,-5.911063,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6164594,9.9568,13.98252,-28.72866,44.8477,-6.101623,-28.79451,44.47657,-5.98327,-28.6198,44.36665,-5.916283,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6169823,10.09121,13.99174,-28.7203,44.84442,-6.103385,-28.96838,44.51693,-5.929911,-28.61439,44.36314,-5.921949,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6172349,10.23161,13.9979,-28.71667,44.84002,-6.105155,-29.17311,44.56543,-5.867948,-28.60597,44.35911,-5.928901,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6213165,10.36169,14.00609,-28.71917,44.83525,-6.11107,-29.36927,44.60961,-5.792296,-28.59869,44.36389,-5.929079,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6301739,10.49737,14.01923,-28.72603,44.83168,-6.121514,-29.50834,44.65676,-5.726337,-28.61043,44.40638,-5.911698,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.644416,10.62997,14.03524,-28.73179,44.83151,-6.136419,-29.61566,44.68868,-5.676466,-28.62733,44.48302,-5.898475,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6595988,10.76494,14.05121,-28.7365,44.83553,-6.150971,-28.84632,44.56203,-5.915802,-28.65283,44.54355,-5.897729,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.67294,10.89786,14.06499,-28.73909,44.8416,-6.162992,-28.85045,44.60254,-5.935058,-28.68961,44.59386,-5.910373,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6848712,11.02899,14.07812,-28.74235,44.84942,-6.17294,-28.86387,44.62725,-5.9416,-28.70357,44.62219,-5.914754,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6998836,11.1632,14.09677,-28.75374,44.85346,-6.186953,-28.88649,44.63984,-5.948189,-28.7228,44.63646,-5.926654,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7186895,11.30058,14.12351,-28.7737,44.85838,-6.203896,-28.91463,44.6406,-5.963686,-28.73972,44.63267,-5.944591,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7389498,11.43375,14.15875,-28.80422,44.86472,-6.220238,-28.94335,44.63428,-5.98327,-28.74876,44.61108,-5.963852,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7606087,11.56841,14.19719,-28.83832,44.87241,-6.235891,-28.98327,44.61795,-6.008099,-28.75243,44.56996,-5.987509,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7829973,11.70441,14.23438,-28.87061,44.87103,-6.254241,-29.01059,44.59485,-6.034037,-28.75191,44.52922,-6.023123,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.805595,11.84594,14.26737,-28.89741,44.86877,-6.27322,-29.02295,44.57522,-6.053107,-28.75155,44.50625,-6.064329,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.8184007,11.97808,14.28186,-28.90589,44.87117,-6.284194,-29.01526,44.56699,-6.066849,-28.75358,44.49686,-6.087876,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.8182539,12.11512,14.28764,-28.90209,44.8721,-6.284667,-29.01284,44.56878,-6.074326,-28.75361,44.48816,-6.09446,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.8095632,12.25025,14.30264,-28.88897,44.8739,-6.277827,-29.00704,44.57173,-6.074588,-28.74568,44.47614,-6.089478,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7993919,12.3838,14.31948,-28.87417,44.87408,-6.270062,-29.00243,44.57362,-6.069763,-28.73347,44.46994,-6.081111,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7912889,12.51814,14.33248,-28.86272,44.87167,-6.264436,-28.99305,44.57225,-6.062495,-28.72169,44.46616,-6.07635,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7844417,12.65123,14.34251,-28.85444,44.87105,-6.258886,-28.98564,44.57322,-6.056567,-28.71588,44.46087,-6.072119,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7769338,12.78507,14.35316,-28.84585,44.86888,-6.253097,-28.9726,44.57219,-6.053263,-28.71254,44.46002,-6.069992,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7692982,12.91825,14.3645,-28.83642,44.86685,-6.247187,-28.96308,44.57162,-6.047822,-28.707,44.45831,-6.067349,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7603379,13.05007,14.3776,-28.82593,44.86647,-6.23942,-28.95842,44.57125,-6.041755,-28.70052,44.45405,-6.062399,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7522461,13.18824,14.38915,-28.81683,44.86538,-6.232479,-28.95318,44.5709,-6.037179,-28.69208,44.45087,-6.056371,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7446405,13.32191,14.40094,-28.80706,44.8643,-6.226038,-28.94909,44.56968,-6.034884,-28.68608,44.45107,-6.048096,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7395217,13.45569,14.41166,-28.79723,44.86221,-6.222433,-28.94639,44.5689,-6.034304,-28.68168,44.4521,-6.040281,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7357991,13.58951,14.42369,-28.78672,44.85658,-6.221336,-28.94153,44.56657,-6.036632,-28.67576,44.45004,-6.034572,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7341002,13.73699,14.43817,-28.77358,44.85075,-6.222429,-28.93713,44.56297,-6.040341,-28.66912,44.44641,-6.031649,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7323906,13.8699,14.44919,-28.76274,44.849,-6.221893,-28.93416,44.56166,-6.043483,-28.66204,44.44437,-6.031954,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7312025,14.00161,14.45853,-28.7541,44.84581,-6.222054,-28.93032,44.5617,-6.047544,-28.65648,44.44286,-6.033642,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7305409,14.13501,14.46695,-28.74763,44.84058,-6.223146,-28.92642,44.55812,-6.051818,-28.64803,44.43909,-6.034855,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7320428,14.27118,14.47293,-28.74245,44.83962,-6.225156,-28.92518,44.55244,-6.055467,-28.64324,44.43353,-6.036354,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7339526,14.40747,14.47766,-28.73849,44.83908,-6.227403,-28.92494,44.55314,-6.059826,-28.64283,44.43338,-6.040452,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7362044,14.53891,14.48198,-28.73611,44.83712,-6.230342,-28.92652,44.55378,-6.062577,-28.64459,44.43435,-6.042828,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7386744,14.67316,14.48486,-28.73553,44.83695,-6.232964,-28.92811,44.55391,-6.064996,-28.64692,44.43581,-6.046432,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.741078,14.80912,14.48765,-28.73587,44.83636,-6.23561,-28.92857,44.55408,-6.066175,-28.64778,44.43522,-6.050137,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7435591,14.95132,14.49023,-28.73588,44.83658,-6.238123,-28.92887,44.55521,-6.067027,-28.64632,44.43589,-6.051416,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7452263,15.08543,14.4923,-28.73554,44.83721,-6.239687,-28.92782,44.555,-6.067198,-28.64644,44.43863,-6.053257,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7469745,15.22308,14.49441,-28.73471,44.83775,-6.241368,-28.92461,44.5551,-6.066809,-28.64527,44.43811,-6.053494,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7480087,15.35332,14.49606,-28.73404,44.83758,-6.242499,-28.92186,44.55436,-6.066893,-28.64321,44.43822,-6.054828,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7477095,15.49132,14.49817,-28.73284,44.83615,-6.242598,-28.9198,44.55381,-6.066649,-28.64029,44.43906,-6.05582,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7224212,15.62834,14.52628,-28.74197,44.83583,-6.216237,-28.92795,44.5523,-6.03998,-28.64486,44.43748,-6.029189,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6467966,15.75767,14.60732,-28.75612,44.83566,-6.136709,-28.94331,44.54996,-5.96058,-28.65525,44.43515,-5.948125,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.630923,15.89645,14.65343,-28.7136,44.83581,-6.12095,-28.90386,44.54819,-5.94369,-28.60733,44.43219,-5.927613,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.6242169,16.023,14.80239,-28.56742,44.83599,-6.093646,-28.75788,44.547,-5.915453,-28.45241,44.4314,-5.897817,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.7120114,16.1564,15.03355,-28.33656,44.8368,-6.087319,-28.52708,44.54523,-5.907819,-28.21664,44.43134,-5.890376,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,0.9101939,16.29333,15.3104,-28.06173,44.83953,-6.116218,-28.25555,44.5438,-5.933422,-27.93712,44.43072,-5.916324,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.173531,16.43022,15.5941,-27.79613,44.84531,-6.213761,-27.99972,44.54288,-6.022256,-27.66461,44.4281,-6.007607,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.45485,16.56379,15.87916,-27.55579,44.85137,-6.366254,-27.76584,44.53963,-6.159433,-27.41256,44.42596,-6.155869,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,1.74232,16.7039,16.16939,-27.33408,44.85655,-6.55321,-27.53996,44.53746,-6.330911,-27.17535,44.42461,-6.343795,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.015866,16.83631,16.44716,-27.13881,44.86005,-6.7507,-27.33787,44.53783,-6.513755,-26.96706,44.42441,-6.542322,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.284777,16.96807,16.7198,-26.94986,44.86201,-6.947231,-27.14156,44.53675,-6.697312,-26.76754,44.42442,-6.739062,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.551677,17.09885,16.98993,-26.76417,44.86313,-7.143411,-26.94837,44.53718,-6.885356,-26.57517,44.4253,-6.937011,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,2.880147,17.26298,17.32071,-26.52836,44.86343,-7.375108,-26.70908,44.5405,-7.110474,-26.33592,44.42702,-7.170766,,,,,,,
Walk,Tutorial,Walk,0,Task0,0.5036428,0.2,0.3036428,3.148041,17.39456,17.58947,-26.31906,44.86303,-7.543656,-26.49744,44.54265,-7.275617,-26.12515,44.42771,-7.338896,,,,,,,
